Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
Frozen Goods,768456,148247	,M/E PLAIN PANINI,72X125GRM,NA,£12.49,0.0%,In Stock,Musgrave Foodservice Ltd,NA,No
"Health, Beauty & Baby",726675,4000388177000	,DOVE H/WASH REGULAR,6 x 250mls,£1.29,£4.69,20.0%,In Stock,Dove,Dove Caring Hand Wash 250 ml,No
"Health, Beauty & Baby",726674,8717163605776	,DOVE H/WASH SILK,6 x 250mls,£1.29,£4.69,20.0%,In Stock,Dove,Dove Fine Silk Handwash 250ml,No
Alcohol & Tobacco,779100,5000143972726	,SOVEREIGN SK BLUE NI,10 x 20pk,£9.55,£76.69,20.0%,In Stock,Gallaher Ltd,Sovereign 20 Cigarettes Superkings Blue,No
Alcohol & Tobacco,760769,5000143920727	,SOVEREIGN KS BLUE TTT#,10 x 20pk,£9.55,£76.69,20.0%,In Stock,Gallaher Ltd,Sovereign Blue 20 Cigarettes,No
"Health, Beauty & Baby",762334,8714789763347	,SANEX DERMO SENSITIVE,6 x 250mls,£2.25,£8.35,20.0%,In Stock,SHS Distributors,"Care for your delicate underarm skin with Sanex Dermo  Sensitive Antiperspirant Deodorant Spray. Formulated for sensitive skin with lactoserum, this dermatologically tested deodorant spray provides 24-hour protection while minimising irritation and restoring the skin’s natural pH. 0% alcohol or ethanol.",No
Alcohol & Tobacco,782293,5060592004942	,HEETS RUSSET 2021,10 x 20pk,£5.00,£37.99,20.0%,In Stock,Philip Morris Ltd,Heets Russet,No
Alcohol & Tobacco,776108,5060592005420	,HEETS GREEN 2021,10 x 20pk,£5.00,£37.99,20.0%,In Stock,Philip Morris Ltd,Heets Green Selection,No
Alcohol & Tobacco,776107,5060592005406	,HEETS BLUE 2021,10 x 20pk,£5.00,£37.99,20.0%,In Stock,Philip Morris Ltd,Heets Blue Selection,No
Alcohol & Tobacco,776106,5060592005383	,HEETS YELLOW 2021,10 x 20pk,£5.00,£37.99,20.0%,In Stock,Philip Morris Ltd,Heets Yellow,No
Alcohol & Tobacco,776105,5060592005376	,HEETS TURQUOISE 2021,10 x 20pk,£5.00,£37.99,20.0%,In Stock,Philip Morris Ltd,Heets Turquoise Selection,No
Alcohol & Tobacco,776103,5060592005819	,HEETS SIENNA CAPS 2021,10 x 20pk,£5.00,£37.99,20.0%,In Stock,Philip Morris Ltd,Heets Sienna Caps 20 Pack,No
Alcohol & Tobacco,776104,5060592005390	,HEETS AMBER 2021,10 x 20pk,£5.00,£37.99,20.0%,In Stock,Philip Morris Ltd,Heets Amber Selection,No
"Confectionery, Crisps & Snacks",768717,7622201428754	,CADBURY WHITE BUTTONS 25P,60X14.GRM,£0.25,£10.40,20.0%,In Stock,Kraft Foods UK Ltd,BeTreatwise.net,No
Alcohol & Tobacco,776102,5060592005413	,HEETS SIENNA 2021,10 x 20pk,£5.00,£37.99,20.0%,In Stock,Philip Morris Ltd,Heets Sienna Selection,No
"Confectionery, Crisps & Snacks",653090,5053827186674	,NUTRIGRAIN APPLE BAR,25X37GRM,£0.79,£10.99,0.0%,In Stock,Kelloggs,Kellogg's Nutri-Grain Bars Apple 37g,No
"Confectionery, Crisps & Snacks",653079,5053827186797	,NUTRIGRAIN STRAWBERRY BAR,25X37GRM,£0.79,£10.99,0.0%,In Stock,Kelloggs,Kellogg's Nutri-Grain Bars Strawberry 37g,No
"Confectionery, Crisps & Snacks",691831,7622210614742	,BELVITA SOFT C/CHIP 60P,20 x 50grm,£0.60,£7.99,0.0%,In Stock,Kraft Foods UK Ltd,Charter HarmonyEnjoy as part of a varied and balanced  diet and healthy lifestyle.Find more information on www.belvitamorning.com,No
Alcohol & Tobacco,769563,5060592004911	,HEETS TEAK SELECTION,10 x 20pk,£5.00,£37.99,20.0%,In Stock,Philip Morris Ltd,Heets Teak,No
Alcohol & Tobacco,779300,5000433025828	,JPS PLAYERS RYO NI,5X30GRM,£11.95,£46.59,20.0%,In Stock,Imperial Tobacco Ltd,JPS Players Easy Rolling Including Cigarette Papers 30g,No
Alcohol & Tobacco,779123,5000143912333	,B&H SK BLUE NI,10 x 20pk,£9.55,£77.15,20.0%,In Stock,Gallaher Ltd,Benson & Hedges 20 Cigarettes Superkings Blue,No
Alcohol & Tobacco,779095,5000143997927	,STERLING RYO NI,5X30GRM,£12.85,£49.85,20.0%,In Stock,Gallaher Ltd,Sterling Rolling Tobacco 5 x 30g,No
Alcohol & Tobacco,779094,5000143998726	,STERLING RYO NI,5 x 50grm,£21.00,£81.45,20.0%,In Stock,Gallaher Ltd,Sterling Rolling Tobacco 50g,No
Alcohol & Tobacco,779121,5000143912029	,B&H SK SKY BLUE NI,10 x 20pk,£9.55,£77.15,20.0%,In Stock,Gallaher Ltd,Benson & Hedges 20 Cigarettes Superkings Sky Blue,No
Alcohol & Tobacco,779122,5000143910032	,B&H SK GREEN NI,10 x 20pk,£9.55,£77.15,20.0%,In Stock,Gallaher Ltd,Benson & Hedges Superkings Green 20 Cigarettes,No
Alcohol & Tobacco,779120,5000143909838	,B&H KS SKY BLUE NI,10 x 20pk,£9.55,£77.15,20.0%,In Stock,Gallaher Ltd,Benson & Hedges 20 Cigarettes Sky Blue,No
Alcohol & Tobacco,779119,5000143948325	,B&H KS BLUE DUAL NI,10 x 20pk,£9.55,£77.15,20.0%,In Stock,Gallaher Ltd,Benson & Hedges Blue Dual 20 Cigarettes,No
Alcohol & Tobacco,779103,5000143932317	,SOVEREIGN KS DUAL NI,10 x 20pk,£9.55,£76.69,20.0%,In Stock,Gallaher Ltd,Sovereign Dual 20 Cigarettes,No
Alcohol & Tobacco,779118,5000143932713	,B&H KS BLUE NI,10 x 20pk,£9.55,£77.15,20.0%,In Stock,Gallaher Ltd,Benson & Hedges 20 Cigarettes Blue,No
Alcohol & Tobacco,779102,5000143956238	,SOVEREIGN KS BLUE NI,10 x 20pk,£9.55,£76.69,20.0%,In Stock,Gallaher Ltd,Sovereign 20 Cigarettes Blue,No
Alcohol & Tobacco,779101,5000143918816	,SOVEREIGN KS SKY BLUE NI,10 x 20pk,£9.55,£76.69,20.0%,In Stock,Gallaher Ltd,Sovereign 20 Cigarettes Sky Blue,No
Alcohol & Tobacco,540111,764253952027	,MCGUIGAN B/LABEL S/BLANC,12 x 187mls,£2.37,£15.99,20.0%,In Stock,United Wine Merchants,McGuigan Black Label Sauvignon Blanc 187ml,No
Alcohol & Tobacco,794597,9300727508287	,JACOBS CREEK MERLOT,1 x 750mls,£6.39,£4.45,20.0%,In Stock,Jacob's Creek,Jacob's Creek Merlot Red Wine 75cl,No
Alcohol & Tobacco,399424,9300727214010	,WYNDHAM BIN 555 SHIRAZ,24 x 187mls,£1.40,£29.99,20.0%,In Stock,Wyndham Estate,NA,No
Alcohol & Tobacco,384438,123445500	,HARDYS SEM CHARDONNAY,12 x 187mls,£1.89,£16.05,20.0%,In Stock,James Mc Cabe Ltd,NA,No
Alcohol & Tobacco,384437,123415443	,HARDYS SHIRAZ CABERNET,12 x 187mls,£1.89,£16.05,20.0%,In Stock,James Mc Cabe Ltd,Hardys Stamp Shiraz Cabernet 187ml,No
Alcohol & Tobacco,758338,85000028896	,BAREFOOT WHITE ZINFANDEL,12 x 187mls,NA,£16.38,20.0%,In Stock,James Mc Cabe Ltd,Barefoot White Zinfandel 187ml,No
Alcohol & Tobacco,443510,5025148096789	,MCGUIGANS B/LABEL SHIRAZ,12X18.7CL,£2.37,£15.99,20.0%,In Stock,McGuigan,McGuigan Black Label Shiraz 187ml,No
Alcohol & Tobacco,443511,9315743502720	,MCGUIGAN B/LABEL ROSE,12 x 187mls,£2.13,£15.99,20.0%,In Stock,United Wine Merchants,NA,No
Alcohol & Tobacco,792498,9300727488275	,JACOBS CREEK SHIRAZ,1 x 750mls,£8.19,£4.45,20.0%,In Stock,Jacob's Creek,Jacob's Creek Shiraz Red Wine 75cl,No
Alcohol & Tobacco,794596,9300727508287	,JACOBS CREEK MERLOT,6 x 750mls,£6.39,£26.59,20.0%,In Stock,Jacob's Creek,Jacob's Creek Merlot Red Wine 75cl,No
Alcohol & Tobacco,792497,9300727488275	,JACOBS CREEK SHIRAZ,6 x 750mls,£8.19,£26.59,20.0%,In Stock,Jacob's Creek,Jacob's Creek Shiraz Red Wine 75cl,No
Alcohol & Tobacco,769830,5011166056645	,LAMBRINI ORIGINAL 6%,1X1.2LTR,NA,£2.45,20.0%,In Stock,United Wine Merchants,NA,No
Alcohol & Tobacco,250325,764253950245	,MCGUIGAN SPARK CHARD PINOT NOIR,6 x 750mls,£9.21,£36.81,20.0%,In Stock,United Wine Merchants,McGuigan Chardonnay Pinot Noir Black Label 750ml,No
Alcohol & Tobacco,769829,5011166056645	,LAMBRINI ORIGINAL 6%,6X1.2LTR,NA,£14.69,20.0%,In Stock,United Wine Merchants,NA,No
Alcohol & Tobacco,739330,9300727215512	,WYNDHAM BIN 222 CHARDONNAY,1 x 187mls,£1.40,£1.25,20.0%,In Stock,Wyndham Estate,NA,No
Alcohol & Tobacco,710294,9300727367143	,J/CREEK SEMILLON CHARDONNAY,1 x 750mls,£6.76,£4.45,20.0%,In Stock,Jacob's Creek,Jacob's Creek Semillon Chardonnay 750ml,No
Alcohol & Tobacco,791700,5000143906936	,STERLING RYO ESSENTIAL NI,5X30GRM,£12.35,£47.99,20.0%,In Stock,Gallaher Ltd,Sterling Rolling Tobacco Essential 30g,No
Alcohol & Tobacco,399426,9300727215512	,WYNDHAM BIN 222 CHARDONNAY,24 x 187mls,£1.40,£29.99,20.0%,In Stock,Wyndham Estate,NA,No
Alcohol & Tobacco,708836,9300727367143	,J/CREEK SEMILLON CHARDONNAY,6 x 750mls,£6.76,£26.59,20.0%,In Stock,Jacob's Creek,Jacob's Creek Semillon Chardonnay White Wine 6 x 75cl,No
Alcohol & Tobacco,712720,9300727006837	,J/CREEK GRENACHE SHIRAZ,1 x 750mls,£6.62,£4.45,20.0%,In Stock,Jacob's Creek,Jacob's Creek Grenache-Shiraz Red Wine 75cl,No
Alcohol & Tobacco,114083,7804320985633	,CASILLERO DIABLO MERLOT,6 x 75cl,£8.28,£30.12,20.0%,In Stock,Casillero del Diablo,Casillero del Diablo Merlot 75cl,No
Alcohol & Tobacco,114084,7804320985633	,CASILLERO DIABLO MERLOT,1 x 75cl,£8.28,£5.05,20.0%,In Stock,Casillero del Diablo,Casillero del Diablo Merlot 75cl,No
Alcohol & Tobacco,739321,9300727214010	,WYNDHAM BIN 555 SHIRAZ,1 x 187mls,£1.40,£1.25,20.0%,In Stock,Wyndham Estate,NA,No
Alcohol & Tobacco,107142,7804320303178	,CASILLERO CABERNET SAUVIGNON,1 x 750mls,£8.28,£5.05,20.0%,In Stock,Concha y Toro,Casillero del Diablo Cabernet Sauvignon 75cl,No
Alcohol & Tobacco,106428,7804320303178	,CASILLERO CABERNET SAUVIGNON,6 x 750mls,£8.28,£30.12,20.0%,In Stock,Concha y Toro,Casillero del Diablo Cabernet Sauvignon 75cl,No
Alcohol & Tobacco,712717,9300727006837	,J/CREEK GRENACHE SHIRAZ,6 x 750mls,£6.62,£26.59,20.0%,In Stock,Jacob's Creek,Jacob's Creek Grenache Shiraz Red Wine 6 x 75cl,No
Alcohol & Tobacco,125407,7809623800690	,POLERO ROSE,6 x 75cl,£7.55,£24.99,20.0%,In Stock,Indomita,NA,No
Alcohol & Tobacco,573949,8410302106300	,CAMPO VIEJO TEMPRANILLO,1 x 75cl,£9.41,£5.25,20.0%,In Stock,Campo Viejo,Campo Viejo Tempranillo 75cl,No
Alcohol & Tobacco,512108,8410302106300	,CAMPO VIEJO TEMPRANILLO,6 x 75cl,£9.41,£31.29,20.0%,In Stock,Campo Viejo,Campo Viejo Tempranillo 75cl,No
Alcohol & Tobacco,163844,9414024514275	,BRANCOTT MARLBOROUGH SAUVIGNON BLAC,1 x 750mls,£10.25,£5.69,20.0%,In Stock,Brancott Estate,Brancott Estate Sauvignon Blanc 750ml,No
Alcohol & Tobacco,163843,9414024514275	,BRANCOTT MARLBOROUGH SAUVIGNON BLAC,6 x 750mls,£10.25,£33.99,20.0%,In Stock,Brancott Estate,Brancott Estate Sauvignon Blanc 750ml,No
Alcohol & Tobacco,250328,764253950238	,MCGUIGAN SPARK SHIRAZ,1 x 750mls,£9.21,£6.15,20.0%,In Stock,United Wine Merchants,McGuigan Black Label Premium Release Shiraz 750ml,No
Alcohol & Tobacco,250327,764253950238	,MCGUIGAN SPARK SHIRAZ,6 x 750mls,£9.21,£36.81,20.0%,In Stock,United Wine Merchants,NA,No
Alcohol & Tobacco,250326,764253950245	,MCGUIGAN SPARK CHARD PINOT NOIR,1 x 750mls,£9.21,£6.15,20.0%,In Stock,United Wine Merchants,McGuigan Chardonnay Pinot Noir Black Label 750ml,No
Alcohol & Tobacco,522699,85000023983	,BAREFOOT MERLOT,NA,NA,NA,20.0%,Out of Stock,James Mc Cabe Ltd,Barefoot Merlot 187ml,No
Alcohol & Tobacco,710293,9300727406538	,JACOBS CREEK CHARDONNAY,1 x 750mls,£6.39,£4.45,20.0%,In Stock,Jacob's Creek,Jacob's Creek Chardonnay 750ml,No
Alcohol & Tobacco,125409,7809623800607	,POLERO SAUV BLANC,NA,NA,NA,20.0%,Out of Stock,Polero,NA,No
Alcohol & Tobacco,127238,7809623800607	,POLERO SAUV BLANC,NA,NA,NA,20.0%,Out of Stock,Polero,NA,No
Alcohol & Tobacco,708822,9300727007391	,WYNDHAM BIN 555 SHIRAZ,NA,NA,NA,20.0%,Out of Stock,Wyndham Estate,George Wyndham Bin 555 Shiraz 750ml,No
Alcohol & Tobacco,197428,8520000009	,SUTTER HOME WHITE ZINFANDEL,24 x 187mls,£2.09,£29.99,20.0%,In Stock,Dillon Bass Ltd,NA,No
Alcohol & Tobacco,710291,9300727007391	,WYNDHAM BIN 555 SHIRAZ,NA,NA,NA,20.0%,Out of Stock,Wyndham Estate,George Wyndham Bin 555 Shiraz 750ml,No
Alcohol & Tobacco,153005,85200000296	,SUTTER HOME WHITE ZINFANDEL,1 x 750mls,£7.89,£4.55,20.0%,In Stock,Dillon Bass Ltd,NA,No
Alcohol & Tobacco,153004,85200000296	,SUTTER HOME WHITE ZINFANDEL,12 x 750mls,£7.89,£53.99,20.0%,In Stock,Dillon Bass Ltd,NA,No
Alcohol & Tobacco,494035,8410302569006	,CAMPO VEIJO TEMPRANILLO,12 x 187mls,£2.33,£16.79,20.0%,In Stock,Dillon Bass Ltd,Campo Viejo Rioja Tempranillo Red Wine 12 x 187ml,No
Alcohol & Tobacco,127240,7809623800577	,POLERO CAB SAUV,1 x 75cl,£7.55,£4.19,20.0%,In Stock,Polero,NA,No
Alcohol & Tobacco,127236,7809623800690	,POLERO ROSE,1 x 75cl,£7.55,£4.19,20.0%,In Stock,Indomita,NA,No
Alcohol & Tobacco,125412,7809623800577	,POLERO CAB SAUV,6 x 75cl,£7.55,£24.99,20.0%,In Stock,Polero,NA,No
"Confectionery, Crisps & Snacks",657829,7613035220065	,KIT KAT 4 FINGER BAR,24X41.GRM,£0.79,£9.99,20.0%,In Stock,Nestle UK Ltd,"Join us at facebook.com/kitkatukShare your break with  #MyBreakCheck out our YouTube Channel at www.youtube.com/user/kitkatVisit www.kitkat.co.ukGood to remember, enjoying chocolate as part of a varied, balanced diet and a healthy lifestyle, is one of life's little pleasures",No
"Confectionery, Crisps & Snacks",657841,7613034872630	,YORKIE ORIGINAL,24 x 46grm,£0.79,£10.49,20.0%,In Stock,Yorkie,"Learn more: http://www.nestle.co.uk/brandswww.facebook.com/yorkieofficial Good to remember: Enjoying chocolate as  part of a varied, balanced diet and a healthy lifestyle, is  one of life's little pleasures.Cocoa Plan:Supporting farmers for better chocolate. Working with UTZ to support cocoa farmers. Find out more at www.nestlecocoaplan.com.",No
"Confectionery, Crisps & Snacks",153518,5010511470365	,JAMESONS RUFFLE BAR,48 x 26grm,£0.49,£11.49,20.0%,In Stock,Jameson's,Ruffles Raspberry & Coconut Bar 26g,No
Alcohol & Tobacco,708826,9300727406538	,JACOBS CREEK CHARDONNAY,6 x 750mls,£6.39,£26.59,20.0%,In Stock,Jacob's Creek,Jacob's Creek Chardonnay 750ml,No
"Confectionery, Crisps & Snacks",787429,5000159536172	,GALAXY DARK FUSIONS,19X35GRM,£0.79,£7.49,20.0%,In Stock,Mars Wrigley DAP UK Ltd,Galaxy Fusions Dark Chocolate 70% Cocoa Bar 35g,No
"Confectionery, Crisps & Snacks",787424,5000159536196	,GALAXY BLONDE FUSIONS,19X35GRM,£0.79,£7.49,20.0%,In Stock,Mars Wrigley DAP UK Ltd,Galaxy Fusions Blonde Sea Salt Chocolate Bar 35g,No
"Confectionery, Crisps & Snacks",775373,5000159536592	,M&MS CRISPY BAR,24 x 31grm,£0.69,£9.69,20.0%,In Stock,Mars Wrigley DAP UK Ltd,M&M's Crispy Chocolate Bar 31g,No
"Confectionery, Crisps & Snacks",775372,5000159536615	,M&MS PEANUT BAR,24 x 34grm,£0.69,£9.69,20.0%,In Stock,Mars Wrigley DAP UK Ltd,M&M's,No
"Confectionery, Crisps & Snacks",693369,7613036193047	,MATCHMAKERS MINT,10X120GRM,£1.99,£12.99,20.0%,In Stock,Nestle UK Ltd,"Remember to enjoy chocolate as part of a varied, balanced diet and healthy lifestyle. Quality Street® is suitable  for vegetarians. The chocolate used in Quality Street® has been produced under The Nestlé Cocoa Plan™, which works with  UTZ Certified to support cocoa farmers for better chocolate.  www.qualitystreet.co.uk www.facebook.com/qualitystreet www.nestlecocoaplan.com www.twitter.com/qualitystreetuk",No
Catering Dry Goods,700849,5050083393624	,KELLOGGS RICE KRISPIES PORTION PACK,40 x 22grm,£0.45,£8.75,0.0%,In Stock,Kellogg's,Kellogg's Rice Krispies 22g,No
Catering Dry Goods,700846,5050083392801	,KELLOGG'S COCO POPS PORTION PACK,40 x 40grm,£0.45,£8.75,0.0%,In Stock,Kellogg's,Kellogg's Coco Pops Cereal 35g,No
Catering Dry Goods,700845,5050083392863	,KELLOGGS CRUNCHY NUT PORTION PACK,40 x 35grm,£0.45,£8.75,0.0%,In Stock,Kellogg's,Kellogg's Crunchy Nut 35g,No
Catering Dry Goods,700843,5050083393693	,KELLOGGS CORNFLAKES PORTION PACK,40 x 24grm,£0.45,£8.75,0.0%,In Stock,Kellogg's,Kellogg's Corn Flakes 24g,No
Catering Dry Goods,700841,5050083393945	,KELLOGGS SPECIAL K PORTION PACKS,40 x 30grm,£0.45,£8.75,0.0%,In Stock,Kellogg's,Kellogg's Special K Cereal 30g,No
Catering Dry Goods,566969,5017602001675	,NEILLS SODA FLOUR,1 x 3kgm,£3.33,£1.99,0.0%,In Stock,Neill's,Neill's Self Raising Soda Bread Flour 3kg,No
Catering Dry Goods,566959,5010092781072	,NEILLS SELF RAISING FLOUR,1 x 3kgm,£3.33,£1.99,0.0%,In Stock,Allied Mills Ltd,Neill's Self Raising Flour 3kg,No
Catering Dry Goods,518538,5017602001651	,NEILLS SELF RAISING FLOUR,4 x 3kgm,£3.33,£7.96,0.0%,In Stock,Neill's,Neill's Self Raising Flour 3kg,No
Catering Dry Goods,566949,5010092781096	,NEILLS PLAIN FLOUR,1 x 3kgm,£3.33,£1.99,0.0%,In Stock,Allied Mills Ltd,Neill's Golden Fleece Plain Flour 3kg,No
Catering Dry Goods,518528,5010092781096	,NEILLS PLAIN FLOUR,4 x 3kgm,£3.33,£7.96,0.0%,In Stock,Allied Mills Ltd,Neill's Golden Fleece Plain Flour 3kg,No
Catering Dry Goods,442725,5018010017579	,DAVINCI STRAWBERRY TOPPING,1 x 500grm,NA,£1.65,0.0%,In Stock,Kerry Ingredients (U.K.) Ltd,"Follow us on: Facebook, Twitter and Instagram",No
Catering Dry Goods,799055,5000401001328	,KERRYMAID REAL DAIRY CUSTARD,12 x 1ltr,£1.52,£12.95,0.0%,In Stock,Kerrymaid,For more inspiration visit www.kerrymaid.com,No
Catering Dry Goods,799056,5000401001328	,KERRYMAID REAL DAIRY CUSTARD,1 x 1ltr,£1.52,£1.09,0.0%,In Stock,Kerrymaid,For more inspiration visit www.kerrymaid.com,No
Catering Dry Goods,121997,7613033487729	,MAGGI RICH + RUSTIC,1 x 3kgm,NA,£5.25,0.0%,In Stock,Maggi,"For free recipe ideas, please visit www.NestleProfessional.co.uk",No
Catering Dry Goods,442724,5018010017579	,DAVINCI STRAWBERRY TOPPING,12 x 500grm,NA,£19.85,0.0%,In Stock,Kerry Ingredients (U.K.) Ltd,"Follow us on: Facebook, Twitter and Instagram",No
Catering Dry Goods,401473,5018010017562	,DA VINCI RASPBERRY TOPPING SAUCE,1 x 500grm,NA,£1.65,0.0%,In Stock,Kerry Ingredients (U.K.) Ltd,"Follow us on: Facebook, Twitter and Instagram",No
Catering Dry Goods,401472,5018010017562	,DA VINCI RASPBERRY TOPPING SAUCE,12 x 500grm,NA,£19.65,0.0%,In Stock,Kerry Ingredients (U.K.) Ltd,"Follow us on: Facebook, Twitter and Instagram",No
Catering Dry Goods,518548,5017602001675	,NEILLS SODA FLOUR,4 x 3kgm,£3.33,£7.96,0.0%,In Stock,Neill's,Neill's Self Raising Soda Bread Flour 3kg,No
Catering Dry Goods,548888,5000157004000	,HEINZ BAKED BEANS A6,6 x 2.62kgm,NA,£18.15,0.0%,In Stock,Heinz,"Beanz Meanz HeinzWe could tell you that our Beanz are  hard to beat. That they're brimming with deliciously rich, tomatoey flavour. But you already know that. Because you know what Beanz Meanz...Heinz baked beans don't just taste great, but are nutritious too; high in fibre, high in protein and low in fat, as well as contributing to 1 of your 5 a day. Packed full of quality ingredients... it has to be Heinz. Love our Heinz Beanz as much as we do? Discover the rest of our range, including organic and no added sugar varieties!",No
Catering Dry Goods,570939,5000157004000	,HEINZ BAKED BEANS A6,1 x 2.62kgm,NA,£3.05,0.0%,In Stock,Heinz,"Beanz Meanz HeinzWe could tell you that our Beanz are  hard to beat. That they're brimming with deliciously rich, tomatoey flavour. But you already know that. Because you know what Beanz Meanz...Heinz baked beans don't just taste great, but are nutritious too; high in fibre, high in protein and low in fat, as well as contributing to 1 of your 5 a day. Packed full of quality ingredients... it has to be Heinz. Love our Heinz Beanz as much as we do? Discover the rest of our range, including organic and no added sugar varieties!",No
Catering Dry Goods,103874,7613033488146	,MAGGI RICH + RUSTIC,12 x 800grm,NA,£19.80,0.0%,In Stock,Maggi,"For free recipe ideas, please visit www.NestleProfessional.co.uk",No
Catering Dry Goods,103877,7613033488146	,MAGGI RICH + RUSTIC,1 x 800grm,NA,£1.65,0.0%,In Stock,Maggi,"For free recipe ideas, please visit www.NestleProfessional.co.uk",No
Catering Dry Goods,121996,7613033487729	,MAGGI RICH + RUSTIC,6 x 3kgm,NA,£31.35,0.0%,In Stock,Maggi,"For free recipe ideas, please visit www.NestleProfessional.co.uk",No
Catering Dry Goods,768801,3052911222535	,MONIN PUMPKIN SPICE,4 x 1ltr,NA,£25.49,0.0%,In Stock,Food Solutions Ltd,NA,No
Catering Dry Goods,768802,3052911222535	,MONIN PUMPKIN SPICE,1 x 1ltr,NA,£7.69,0.0%,In Stock,Food Solutions Ltd,NA,No
Catering Dry Goods,683352,5010421092435	,NOELS CHOCOLATE TOPPING SAUCE,1 x 1kgm,NA,£2.65,0.0%,In Stock,Noel's,For information on this product and recipe suggestions call Freephone (UK): 08081 000363,No
Catering Dry Goods,683349,5010421092411	,NOELS STRAWBERRY TOPPINGSAUCE,6 x 1kgm,NA,£15.85,0.0%,In Stock,Noel's,For information on this product and recipe suggestions call Freephone (UK): 08081 000363,No
Catering Dry Goods,683350,5010421092411	,NOELS STRAWBERRY TOPPINGSAUCE,1 x 1kgm,NA,£2.65,0.0%,In Stock,Noel's,For information on this product and recipe suggestions call Freephone (UK): 08081 000363,No
Catering Dry Goods,683354,5010421073205	,NOELS CARAMEL TOPPING SAUCE,1 x 1kgm,NA,£2.65,0.0%,In Stock,RH Amar Ltd,For more information on this product and recipe suggestions call Freephone (UK): 08081 000363,No
Catering Dry Goods,683353,5010421073205	,NOELS CARAMEL TOPPING SAUCE,6 x 1kgm,NA,£15.85,0.0%,In Stock,RH Amar Ltd,For more information on this product and recipe suggestions call Freephone (UK): 08081 000363,No
Catering Dry Goods,442729,5018010003008	,DAVINCI CHOCOLATE TOPPING,1 x 500grm,NA,£1.69,0.0%,In Stock,Kerry Ingredients (U.K.) Ltd,"Follow us on: Facebook, Twitter and Instagram",No
Catering Dry Goods,442728,5018010003008	,DAVINCI CHOCOLATE TOPPING,12 x 500grm,NA,£19.89,0.0%,In Stock,Kerry Ingredients (U.K.) Ltd,"Follow us on: Facebook, Twitter and Instagram",No
Catering Dry Goods,769693,5099839677472	,M/E PURE BASMATI RICE,1 x 5kgm,NA,£8.99,0.0%,In Stock,Musgrave Foodservice Ltd,NA,No
Catering Dry Goods,769692,5099839677472	,M/E PURE BASMATI RICE,3 x 5kgm,NA,£24.99,0.0%,In Stock,Musgrave Foodservice Ltd,NA,No
Catering Dry Goods,794506,5391539886766	,MUSGRAVE EXCELLENCE FUSILLI PASTA,1 x 500grm,NA,£0.59,0.0%,In Stock,Musgrave Foodservice Ltd,NA,No
Catering Dry Goods,794485,5391539886773	,MUSGRAVE EXCELLENCE PENNE PASTA,1 x 500grm,NA,£0.59,0.0%,In Stock,Musgrave Foodservice Ltd,NA,No
Catering Dry Goods,794498,5391539886766	,MUSGRAVE EXCELLENCE FUSILLI PASTA,12 x 500grm,NA,£6.69,0.0%,In Stock,Musgrave Foodservice Ltd,NA,No
Catering Dry Goods,769691,5099839247040	,M/E LONG GRAIN RICE,1 x 5kgm,NA,£4.99,0.0%,In Stock,Musgrave Excellence,Musgrave Excellence Easy Cook Long Grain Rice 5kg,No
Catering Dry Goods,769690,5099839677465	,M/E LONG GRAIN RICE,3 x 5kgm,NA,£14.49,0.0%,In Stock,Musgrave Foodservice Ltd,Musgrave Excellence Easy Cook Long Grain Rice 5kg,No
Catering Dry Goods,794474,5391539886773	,MUSGRAVE EXCELLENCE PENNE PASTA,12 x 500grm,NA,£6.69,0.0%,In Stock,Musgrave Foodservice Ltd,NA,No
Catering Dry Goods,606289,5000208024926	,TETLEY FOR CATERERS,1 x 1100,NA,£15.49,0.0%,In Stock,Stafford Lynch,"Great Taste Award 2018 Winning! Great Taste is the largest and most trusted accreditation scheme for fine food and drink, with over 500 expert judges. 1-star means our product is 'simply delicious - a drink that delivers fantastic flavour.'",No
Catering Dry Goods,500738,5000208024926	,TETLEY FOR CATERERS,2 x 1100,NA,£30.99,0.0%,In Stock,Stafford Lynch,"Great Taste Award 2018 Winning! Great Taste is the largest and most trusted accreditation scheme for fine food and drink, with over 500 expert judges. 1-star means our product is 'simply delicious - a drink that delivers fantastic flavour.'",No
Catering Dry Goods,683351,5010421092435	,NOELS CHOCOLATE TOPPING SAUCE,6 x 1kgm,NA,£15.85,0.0%,In Stock,Noel's,For information on this product and recipe suggestions call Freephone (UK): 08081 000363,No
Catering Dry Goods,585269,5000183070260	,CADBURYS DRINKING CHOCOLATE,1 x 2kgm,NA,£9.99,0.0%,In Stock,Kraft Foods UK Ltd,Cocoa LifePartnering with Fairtrade Foundationcocoalife.org,No
Catering Dry Goods,442727,5018010016510	,DAVINCI TOFFEE & DEVON CREAM,1 x 500grm,NA,£1.49,0.0%,In Stock,Kerry Ingredients (U.K.) Ltd,"Follow us on: Facebook, Twitter and Instagram",No
Catering Dry Goods,567169,4002359643224	,UNCLE BENS BLACK BEAN SCE,1 x 2.2kgm,NA,£7.49,0.0%,In Stock,Aimia Foods Ltd,Uncle Bens Black Bean Cooking Sauce 2.3kg,No
